station,date,max_tmpf,min_tmpf,name,X,Y,GDD,Cumulative_GDD,Station_ID
MN125,2023-09-30,73.04002,63.68,T.H.23 - Richmond - MP 187.8     MN US MNDOT,-94.48594665527344,45.45101165771485,18.360010000000003,2697.5700420000007,MN125
MN127,2023-09-30,66.38,61.519978,T.H.47 - Isle - MP 89.0          MN US MNDOT,-93.43245697021484,46.11800003051758,13.949989000000002,2337.6600245000004,MN127
MN128,2023-09-30,66.74002,61.519978,U.S.169 - Waukenabo - MP 272.9   MN US MNDOT,-93.61335754394533,46.782958984375,14.129998999999998,2158.1999665000003,MN128
MN129,2023-09-30,65.84002,62.24002,U.S.169 - Farm Island - MP 245.4 MN US MNDOT,-93.74376678466795,46.43484878540039,14.040019999999998,2372.2199170000004,MN129
MN130,2023-09-30,73.21998,61.16001,I-94 - Fergus Falls - MP 61.5    MN US MNDOT,-96.01892852783205,46.20746994018555,17.18999500000001,2706.120008499999,MN130
MN131,2023-09-30,80.78,66.19999,T.H.27 - Herman - MP 36.5        MN US MNDOT,-96.23370361328124,45.80355072021485,23.489994999999993,2768.9400969999997,MN131
MN132,2023-09-30,69.79999,58.819977,T.H.10 - Frazee - MP 55.2        MN US MNDOT,-95.69174194335938,46.70597076416016,14.309983500000001,2490.0297265,MN132
MN133,2023-09-30,71.78,61.519978,I-94 - Evansville - MP 82.8      MN US MNDOT,-95.72994995117188,45.99848937988281,16.649989000000005,2622.8700329999997,MN133
MN134,2023-09-30,71.419975,60.08,U.S.12 - Holloway - MP 27.0      MN US MNDOT,-95.91149139404295,45.28256988525391,15.749987500000003,2735.5501299999996,MN134
MN135,2023-09-30,75.19999,53.24002,U.S.75 - Kent - MP 222           MN US MNDOT,-96.71227264404295,46.470611572265625,14.220005,2710.7999005,MN135
MN136,2023-09-30,71.59999,59.89999,T.H.9 - Murdock - MP 24.5        MN US MNDOT,-95.37902069091795,45.32592010498047,15.749989999999997,2732.130008499998,MN136
MN137,2023-09-30,71.06001,58.819977,U.S.75 - Ortonville - MP 132.7   MN US MNDOT,-96.38938903808594,45.2689208984375,14.9399935,2785.7699064999997,MN137
MN138,2023-09-30,69.79999,59.360012,T.H.34 - Osage - MP 65.0         MN US MNDOT,-95.26937866210938,46.920631408691406,14.580000999999996,2256.7498719999985,MN138
MN139,2023-09-30,89.24002,66.919975,T.H.52 - Coates - MP 110.4       MN US MNDOT,-93.0097198486328,44.664920806884766,26.459987499999997,2793.3301745000003,MN139
